price(thousand dollard),m2_living,grade,m2_above,bathrooms,view,m2_basement,bedrooms,zipcode_98004,waterfront,floors,zipcode_98039,zipcode_98040,zipcode_98112,zipcode_98006,zipcode_98033,zipcode_98168,zipcode_98001,zipcode_98042,zipcode_98023
221.9,109.62554,7,109.62554,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
538.0,238.76071,7,201.59951,2.25,0,37.1612,3,0,0,2.0,0,0,0,0,0,0,0,0,0
180.0,71.53531,6,71.53531,1.0,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
604.0,182.08988,7,97.54815,3.0,0,84.54173,4,0,0,1.0,0,0,0,0,0,0,0,0,0
510.0,156.07704,8,156.07704,2.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
1225.0,503.53426,11,361.39267,4.5,0,142.14159,4,0,0,1.0,0,0,0,0,0,0,0,0,0
257.5,159.328645,7,159.328645,2.25,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
291.85,98.47718,7,98.47718,1.5,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
229.5,165.36734,7,97.54815,1.0,0,67.81919,3,0,0,1.0,0,0,0,0,0,0,0,0,0
323.0,175.58667,7,175.58667,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
662.5,330.73468,8,172.79958,2.5,0,157.9351,3,0,0,1.0,0,0,0,0,0,0,0,0,0
468.0,107.76748,7,79.89658,1.0,0,27.8709,2,0,0,1.0,0,0,0,0,0,0,0,0,0
310.0,132.85129,7,132.85129,1.0,0,0.0,3,0,0,1.5,0,0,0,0,0,0,0,0,0
400.0,127.27711,7,127.27711,1.75,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
530.0,168.15443,7,168.15443,2.0,0,0.0,5,0,0,1.5,0,0,0,0,0,0,0,0,0
650.0,274.06385,9,183.94794,3.0,3,90.11591,4,0,0,2.0,0,0,0,0,0,0,0,0,0
395.0,175.58667,7,175.58667,2.0,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
